id,time,lat,lon,depth,mag,place
50,2015-11-18T18:30:07.200Z,38.7338,20.5977,5.1,4.6,10km WNW of Nidri - Greece
51,2015-11-18T14:55:40.000Z,37.84,29.3,10,4.2,9km NNE of Honaz - Turkey
52,2015-11-18T13:03:14.900Z,38.72,20.63,8,4.9,7km WNW of Nidri - Greece
53,2015-11-18T12:15:37.950Z,38.8407,20.5551,10,5,12km W of Lefkada - Greece
54,2015-11-18T10:35:45.270Z,37.817,29.2898,2.4,4.1,6km NNE of Honaz - Turkey
55,2015-11-18T05:18:15.680Z,38.5792,20.3775,10,4.7,32km WSW of Nidri - Greece
56,2015-11-18T01:24:43.610Z,38.666,20.5368,10,4.2,15km WSW of Nidri - Greece
57,2015-11-17T23:28:10.010Z,50.1367,19.2467,6.06,4.1,3km N of Chelmek - Poland
58,2015-11-17T21:11:36.600Z,38.53,20.54,13,4.3,24km NW of Ithaki - Greece
59,2015-11-17T20:52:28.130Z,38.7726,20.5147,14.59,4.2,17km WSW of Lefkada - Greece
60,2015-11-17T19:39:34.940Z,38.7076,20.5062,11.15,4.3,17km W of Nidri - Greece
61,2015-11-17T12:37:55.960Z,38.6843,20.5176,10,4.8,16km W of Nidri - Greece
62,2015-11-17T12:10:32.300Z,38.69,20.62,10,4,8km WSW of Nidri - Greece
63,2015-11-17T11:57:25.100Z,38.7075,20.5977,8.6,4.7,9km W of Nidri - Greece
64,2015-11-17T11:49:45.700Z,38.49,20.49,7,4.2,24km NW of Ithaki - Greece
65,2015-11-17T10:41:37.400Z,38.4968,20.4452,7.2,4.2,28km WNW of Ithaki - Greece
66,2015-11-17T10:09:39.090Z,34.6863,22.3627,10,4,135km WSW of Palaiochora - Greece
67,2015-11-17T09:02:15.500Z,38.54,20.55,11,4.3,23km SW of Nidri - Greece
68,2015-11-17T08:33:40.800Z,38.65,20.56,9,5.1,14km WSW of Nidri - Greece
69,2015-11-17T08:10:06.300Z,38.63,20.59,10,4.4,13km SW of Nidri - Greece
70,2015-11-17T07:10:07.300Z,38.67,20.6,11,6.5,10km WSW of Nidri - Greece
71,2015-11-17T03:00:10.700Z,39.5218,24.1018,12.3,4.3,45km NNE of Patitirion - Greece
72,2015-11-16T15:45:44.670Z,40.8703,28.7604,9.65,4.4,14km SSE of Yakuplu - Turkey
73,2015-11-16T04:02:55.860Z,34.8832,23.2716,33.3,4.1,54km SW of Palaiochora - Greece
74,2015-11-16T03:58:21.480Z,34.823,23.3406,29.95,4.2,55km SW of Palaiochora - Greece
75,2015-11-12T22:18:06.290Z,36.3932,22.1675,10,4.3,49km SSE of Koroni - Greece
76,2015-11-11T23:49:41.800Z,37.13,22.04,13,4.4,2km SSE of Arfara - Greece
77,2015-11-10T20:29:43.820Z,34.9667,32.0882,13.8,4.3,28km WNW of Peyia - Cyprus
78,2015-11-07T22:36:04.640Z,37.25,15.88,22,4,56km ENE of Siracusa - Italy
79,2015-11-06T23:25:47.160Z,37.8994,21.4291,10,4.3,6km NE of Sinoikismos Khavarion - Greece
80,2015-11-01T07:52:33.220Z,45.8618,15.5518,2.36,4.3,5km SSW of Brezice - Slovenia
81,2015-11-01T06:27:05.530Z,41.3513,20.2265,17.77,4.7,15km S of Bulqize - Albania
82,2015-11-01T06:26:19.820Z,41.3351,20.1932,18.03,4.8,17km S of Bulqize - Albania
83,2015-10-31T09:20:32.820Z,41.376,20.2697,4.01,4.3,13km SSE of Bulqize - Albania
84,2015-10-30T20:56:40.110Z,34.3646,24.737,39.19,4.1,76km S of Moirai - Greece
85,2015-10-29T00:37:46.520Z,42.166,3.2175,7.85,4.1,8km ENE of l'Escala - Spain
86,2015-10-28T16:20:02.050Z,40.82,27.765,12.7,4.4,23km SW of Marmaraereglisi - Turkey
87,2015-10-27T13:21:46.480Z,35.8722,24.059,38.53,4.6,38km NNW of Mouzouras - Greece
88,2015-10-27T13:14:39.690Z,35.8575,24.0126,10,4.7,38km N of Chania - Greece
89,2015-10-27T01:25:51.900Z,38.92,24.33,25,4.4,20km W of Skyros - Greece
90,2015-10-26T20:07:59.840Z,39.7905,26.256,5.3,4,7km W of Ezine - Turkey
91,2015-10-25T15:46:03.950Z,37.5648,22.0829,6.04,4.7,18km NNW of Megalopolis - Greece
92,2015-10-24T02:59:00.110Z,35.3021,23.1776,20.2,4.5,42km WSW of Platanos - Greece
93,2015-10-23T18:29:42.520Z,37.9205,26.8081,26.24,4.4,16km NNE of Ydroussa - Greece
94,2015-10-23T17:13:20.290Z,38.0511,20.1573,15.37,4.4,29km SW of Lixourion - Greece
95,2015-10-22T19:04:21.160Z,35.4856,22.7358,46.78,4.1,78km W of Platanos - Greece
96,2015-10-16T00:16:25.160Z,39.4754,15.595,239.96,4.4,27km SW of Belvedere Marittimo - Italy
97,2015-10-14T13:17:09.950Z,34.4089,26.5307,36.85,4.5,87km SE of Makry Gialos - Greece
98,2015-10-14T10:20:50.340Z,38.77,14.81,309,4.5,35km NNW of Lipari - Italy
99,2015-10-13T23:18:11.580Z,39.0824,28.9876,8.26,4.2,1km SE of Simav - Turkey
100,2015-10-13T16:34:40.250Z,36.81,23.1696,98.66,4.3,18km NE of Gefyra - Greece
101,2015-10-12T02:16:10.920Z,34.5025,26.3751,13.5,4.7,70km SSE of Makry Gialos - Greece
102,2015-10-09T14:39:15.000Z,40.6847,36.6897,5,5.1,10km E of Erbaa - Turkey
103,2015-10-07T09:25:02.050Z,45.6574,26.8586,129.699,4.4,9km W of Poiana Cristei - Romania
104,2015-10-06T21:27:33.000Z,36.1682,29.8952,22.4,5.2,11km SW of Demre - Turkey
105,2015-10-03T02:35:01.230Z,71.3652,-4.3611,10,4.6,164km ENE of Olonkinbyen - Svalbard and Jan Mayen
106,2015-10-03T02:21:01.100Z,71.3235,-4.0087,10,4.2,175km ENE of Olonkinbyen - Svalbard and Jan Mayen
107,2015-10-03T01:46:23.280Z,71.4028,-3.8605,10,4.4,183km ENE of Olonkinbyen - Svalbard and Jan Mayen
108,2015-09-29T15:53:49.030Z,45.7228,26.7268,121,4.1,1km NE of Nereju - Romania
109,2015-09-29T09:12:40.090Z,34.686,24.592,24.7,4.9,45km SSW of Tympakion - Greece
110,2015-09-22T06:25:04.720Z,39.1413,29.1262,10,4.1,14km ENE of Simav - Turkey
111,2015-09-16T19:52:11.600Z,35.3458,27.7905,11.4,4.9,55km ESE of Karpathos - Greece
112,2015-09-16T03:23:23.070Z,36.121,30.7873,71.9,4.3,48km SSE of Tekirova - Turkey
